training/progress,train/grad_clip_ratio,timing/forward_ms,train/learning_rate,summary/total_iterations,performance/iterations_per_second,eval/loss,eval/num_batches,summary/final_eval_perplexity,train/grad_norm_before_clip,timing/optimizer_ms,summary/final_eval_loss,train/loss,step,system/elapsed_time_hours,performance/tokens_per_second,timing/backward_ms,summary/average_tokens_per_second,timing/eval_total_seconds,model/total_parameters,train/running_loss,training/iteration,summary/total_training_time_hours,timing/total_ms,learning_rate/group_0,model/trainable_parameters,train/perplexity,summary/final_train_loss,eval/perplexity,train/grad_norm_after_clip,timestamp
,0.9999999784322932,2774.0039825439453,,,,,,,0.46365614270560873,75.23107528686523,,1.360949158668518,190,,,5920.458793640137,,,,,,,8769.693851470947,,,3.899893163041755,,,0.46365614270560873,1756116631.2018828
0.38,,,0.0002404910419685508,,0.11034377091157553,,,,,,,,190,,903.9361713076268,,,,,1.508054141998291,190,,,,,,,,,1756116631.2308931
,,,,,,,,,,,,,190,0.5679410430457857,,,,,,,,,,,,,,,,1756116631.2310069
,,,,,,,,,,,,,200,,,,,,,,,,,0.00023249999999999996,,,,,,1756116720.3058932
,0.9999999809284165,2685.9049797058105,,,,,,,0.5243403016515498,75.26612281799316,,1.414278507232666,200,,,5520.079135894775,,,,,,,8281.25023841858,,,4.113517521925851,,,0.5243403016515498,1756116728.824312
0.4,,,0.00023249999999999996,,0.11706106697978186,,,,,,,,200,,958.964260698373,,,,,1.4692104411125184,200,,,,,,,,,1756116728.848437
,,,,,,,,,,,,,200,0.5950570289293925,,,,,,,,,,,,,,,,1756116728.848557
,,,,,,1.3352746844291687,50,,,,,,200,,,,,144.83258533477783,,,,,,,,,,3.801039889507547,,1756116873.6824389
,,,,,,,,,,,,,210,,,,,,,,,,,0.0002241801048165254,,,,,,1756116958.556416
,0.9999999755288083,2626.063108444214,,,,,,,0.4086437571457245,75.25992393493652,,1.3641210794448853,210,,,5505.533218383789,,,,,,,8206.85625076294,,,3.9122829545218347,,,0.4086437571457245,1756116966.9894369
0.42,,,0.0002241801048165254,,0.11821338353590118,,,,,,,,210,,968.4040379261024,,,,,1.4401172292232514,210,,,,,,,,,1756116967.015676
,,,,,,,,,,,,,210,0.6612157228257921,,,,,,,,,,,,,,,,1756116967.019855
,,,,,,,,,,,,,220,,,,,,,,,,,0.0002155718901111481,,,,,,1756117047.3645172
,0.9999999811515053,2583.137035369873,,,,,,,0.5305463405829959,75.531005859375,,1.3042951822280884,220,,,5483.905076980591,,,,,,,8142.573118209839,,,3.6850908606424677,,,0.5305463405829959,1756117055.727492
0.44,,,0.0002155718901111481,,0.11925030374069391,,,,,,,,220,,976.8984882437645,,,,,1.414714778661728,220,,,,,,,,,1756117055.7502332
,,,,,,,,,,,,,220,0.6858630899588267,,,,,,,,,,,,,,,,1756117055.750376
,,,,,,,,,,,,,230,,,,,,,,,,,0.00020671729424061788,,,,,,1756117133.478318
,0.9999999749884331,2648.9081382751465,,,,,,,0.3998150047197034,74.5232105255127,,1.3603166341781616,230,,,5573.162078857422,,,,,,,8296.593427658081,,,3.897427165090624,,,0.3998150047197034,1756117142.0162072
0.46,,,0.00020671729424061788,,0.11672853934784423,,,,,,,,230,,956.24019433754,,,,,1.393793272972107,230,,,,,,,,,1756117142.045179
,,,,,,,,,,,,,230,0.7098339016569986,,,,,,,,,,,,,,,,1756117142.045299
,,,,,,,,,,,,,240,,,,,,,,,,,0.0001976594559059551,,,,,,1756117220.255178
,0.9999999781283453,2595.0870513916016,,,,,,,0.45721276743301337,126.67226791381836,,1.2927393913269043,240,,,7227.877140045166,,,,,,,9949.636459350586,,,3.6427518228874796,,,0.45721276743301337,1756117230.444996
0.48,,,0.0001976594559059551,,0.09775899209160505,,,,,,,,240,,800.8416632144285,,,,,1.3743916130065919,240,,,,,,,,,1756117230.484407
,,,,,,,,,,,,,240,0.7344003638956282,,,,,,,,,,,,,,,,1756117230.484562
,,,,,,,,,,,,,250,,,,,,,,,,,0.0001884425039850356,,,,,,1756117312.583575
,0.9999999785243551,2530.996322631836,,,,,,,0.4656437472146149,74.73397254943848,,1.2824537754058838,250,,,5694.271087646484,,,,,,,8300.001382827759,,,3.605475908242006,,,0.4656437472146149,1756117321.128191
0.5,,,0.0001884425039850356,,0.11670708638920589,,,,,,,,250,,956.0644517003747,,,,,1.3575631654262543,250,,,,,,,,,1756117321.151985
,,,,,,,,,,,,,250,0.7595858330859079,,,,,,,,,,,,,,,,1756117321.152252
,,,,,,,,,,,,,260,,,,,,,,,,,0.0001791113425411332,,,,,,1756117402.896022
,0.9999999783976213,2791.4931774139404,,,,,,,0.46291197588476773,75.56796073913574,,1.2760932445526123,260,,,5724.88808631897,,,,,,,8591.949224472046,,,3.5826159453058604,,,0.46291197588476773,1756117411.823189
0.52,,,0.0001791113425411332,,0.11171759072933728,,,,,,,,260,,915.190503254731,,,,,1.3460309267044068,260,,,,,,,,,1756117411.847157
,,,,,,,,,,,,,260,0.7847800275352266,,,,,,,,,,,,,,,,1756117411.851351
,,,,,,,,,,,,,270,,,,,,,,,,,0.00016971143205483761,,,,,,1756117493.58917
,0.9999999760162573,2842.9150581359863,,,,,,,0.4169490931827383,76.26485824584961,,1.2691643238067627,270,,,5869.990110397339,,,,,,,8789.170026779175,,,3.5578780856643144,,,0.4169490931827383,1756117502.628012
0.54,,,0.00016971143205483761,,0.11034962351774154,,,,,,,,270,,903.9841158573387,,,,,1.3303947424888611,270,,,,,,,,,1756117502.651268
,,,,,,,,,,,,,270,0.8100022611353133,,,,,,,,,,,,,,,,1756117502.651392
,,,,,,,,,,,,,280,,,,,,,,,,,0.00016028856794516238,,,,,,1756117582.190204
,0.9999999727696779,2718.2059288024902,,,,,,,0.36723765782519435,76.23696327209473,,1.2494945526123047,280,,,6019.496917724609,,,,,,,8813.939809799194,,,3.4885792185080047,,,0.36723765782519435,1756117591.260229
0.56,,,0.00016028856794516238,,0.10996910993903711,,,,,,,,280,,900.866948620592,,,,,1.3189047515392303,280,,,,,,,,,1756117591.28366
